aptSeq,name,sggCd,umdName,prodTotal,shadowTotal,prodTransport,shadowTransport
26500-87,"나래아트빌",26500,광안동,52,51,48.39,48.14
26500-1712,"광안협성엠파이어Ⅱ",26500,광안동,70,70,80.28,79.96
26500-1753,"정원타워Ⅰ",26500,광안동,56,55,50.90,49.20
26500-99,"동림",26500,망미동,44,44,41.48,41.48
26500-2120,"더클래스센텀",26500,광안동,50,,37.58,
26500-38,"협진태양",26500,남천동,41,40,41.13,39.15
26500-106,"국화",26500,망미동,56,56,81.11,81.11
26500-140,"행복홈타운",26500,광안동,52,52,61.00,59.59
26500-172,"승우맨션(가동)",26500,광안동,39,39,55.46,55.40
26500-180,"대로해도지빌",26500,광안동,57,58,53.49,55.14
26500-42,"동방(1~5동)",26500,망미동,45,45,51.90,51.90
26500-2012,"디아이하우스",26500,광안동,47,47,57.38,56.66
26500-2017,"수영동아성퍼스트힐",26500,수영동,59,59,52.53,50.86
26500-2022,"금양아이파크",26500,남천동,52,50,47.90,46.65
26500-2029,"이린타워빌8",26500,광안동,56,57,33.63,34.50
26500-2067,"에이스센텀빌리지",26500,광안동,51,51,51.28,51.39
26500-25,"반도보라맨션",26500,남천동,29,29,9.60,7.92
26500-2133,"디아이세라뷰",26500,광안동,42,42,40.22,41.11
26500-1962,"햇살가득한집",26500,망미동,65,65,67.30,67.30
26500-48,"오양",26500,망미동,52,52,52.87,52.87
26500-2207,"에이스로얄팰리스",26500,광안동,40,41,35.84,36.20
26500-262,"삼정그린코아",26500,광안동,47,47,21.98,21.86
26500-222,"삼흥토인월드",26500,광안동,70,70,91.06,90.73
26500-2238,"가비펠리치",26500,광안동,39,40,31.82,33.03
26500-209,"동원맨션(776-21)",26500,광안동,34,34,47.60,47.72
26500-65,"신익탑스빌",26500,수영동,51,48,52.14,42.19
26500-104,"협진태양맨션B동",26500,망미동,43,43,39.94,39.94
26500-90,"센텀빌리지",26500,광안동,57,56,63.54,62.95
26500-97,"광안메르빌",26500,광안동,34,33,32.25,32.00
26500-264,"협성엠파이어106동",26500,광안동,46,46,55.92,54.61
26500-15,"광안화목",26500,광안동,55,55,50.32,50.88
26500-102,"우성파크빌",26500,망미동,54,54,63.92,63.92
26500-114,"부일",26500,망미동,49,49,63.99,63.99
26500-1837,"광안센텀스카이뷰",26500,광안동,45,,37.62,
26500-51,"한성기린",26500,망미동,44,44,44.48,44.48
26500-1730,"에코하임",26500,수영동,48,45,55.36,48.62
26500-1931,"세종엠-스테이Ⅱ",26500,남천동,61,60,62.58,60.92
26500-195,"세종월드",26500,광안동,42,42,34.85,35.36
26500-55,"현대한누리",26500,망미동,41,41,62.84,62.84
26500-1956,"일호센텀누리",26500,광안동,48,47,27.11,26.72
26500-1,"광명(539-1)",26500,광안동,34,34,21.30,21.15
26500-1911,"더폼타워",26500,광안동,60,,72.66,
26500-1989,"남천블루비치",26500,남천동,57,56,50.61,49.77
26500-205,"범바우빌라",26500,광안동,44,44,58.20,56.31
26500-34,"우성보라",26500,남천동,41,39,38.28,36.92
26500-228,"봉황파크",26500,남천동,51,49,56.34,55.77
26500-22,"남천파크",26500,남천동,58,58,66.53,67.62
26500-40,"남천시티빌",26500,남천동,69,68,88.65,87.60
26500-20,"류빈비치빌",26500,광안동,36,,19.16,
26500-8,"부덕그린",26500,광안동,45,45,29.24,29.96
26500-11,"상아아트빌라(101동)",26500,광안동,36,36,30.15,30.00
26500-81,"광안리치빌A",26500,광안동,32,31,19.61,19.63
26500-1810,"성우센텀스카이뷰에이",26500,광안동,43,43,39.62,40.16
26500-261,"동우",26500,민락동,53,53,49.11,49.33
26500-72,"희망파크빌",26500,광안동,56,,62.88,
26500-218,"한솔",26500,광안동,35,,24.63,
26500-121,"태창빌라",26500,수영동,35,,21.20,
26500-46,"산호맨션",26500,망미동,57,57,75.56,75.56
26500-1758,"에이스센텀스카이뷰",26500,광안동,65,,78.49,
26500-151,"서호",26500,광안동,55,55,56.16,54.44
26500-1515,"궁전아이브",26500,남천동,55,53,80.85,79.75
26500-157,"풍림",26500,광안동,55,55,58.17,57.13
26500-171,"금보맨션",26500,광안동,40,40,51.67,50.00
26500-35,"진주",26500,남천동,45,45,56.12,55.61
26500-166,"세진비치빌라",26500,광안동,39,40,31.39,31.52
26500-63,"화인아트",26500,민락동,40,41,54.14,54.57
26500-170,"새광안맨션",26500,광안동,35,36,43.22,43.39
26500-1918,"스테이빌",26500,광안동,43,43,52.78,53.15
26500-2362,"광안스윗팰리스",26500,광안동,73,72,86.89,85.94
26500-1374,"남강하이츠",26500,광안동,58,58,58.08,56.91
26500-260,"백광월드타워",26500,망미동,56,56,60.50,60.50
26500-79,"금수하이빌",26500,광안동,55,55,52.80,51.33
26500-153,"부흥3차",26500,광안동,43,,21.70,
26500-1372,"고은파크뷰",26500,광안동,60,,48.53,
26500-80,"광안시티빌",26500,광안동,64,,72.31,
26500-178,"누원아트빌",26500,광안동,35,,32.18,
26500-233,"뉴하이츠빌라",26500,남천동,39,,58.29,
26500-190,"협성센트로1차",26500,광안동,47,,43.12,
26500-2193,"오션스카이남천",26500,남천동,53,,66.31,
26500-145,"부흥맨션",26500,광안동,45,,37.54,
