aptSeq,name,sigungu,ageBand,hhBand,parkingStatus,total_WA,complex
26350-42,"에이스",해운대구,31+,100-299,MISSING,43.4,37.4
26350-118,"동부",해운대구,21-30,<100,MISSING,57.2,36.5
26350-294,"송정세양시에당",해운대구,21-30,unknown,MISSING,29.7,51.4
26230-57,"초읍우신(269-8)",부산진구,31+,unknown,MISSING,49.3,19.2
26350-2385,"센텀리슈빌2단지",해운대구,0-10,500-999,KNOWN,64.8,77.0
26260-1956,"명륜2차아이파크1단지",동래구,11-20,1000+,KNOWN,65.0,81.2
26350-130,"신성",해운대구,21-30,<100,MISSING,52.6,32.1
26350-55,"현대(1042-2)",해운대구,31+,unknown,MISSING,53.2,35.2
26350-303,"해운대비치베르빌",해운대구,21-30,100-299,MISSING,62.4,56.6
26350-132,"영남",해운대구,21-30,100-299,MISSING,57.3,40.8
26230-365,"남경하이츠빌라",부산진구,21-30,unknown,MISSING,58.5,44.2
26350-2229,"해운대자이1단지",해운대구,11-20,500-999,KNOWN,60.1,77.1
26350-2125,"해운대중동롯데캐슬마스터2",해운대구,11-20,100-299,KNOWN,59.7,61.8
26350-125,"벽산1",해운대구,21-30,500-999,KNOWN,74.2,60.3
26350-63,"참빛마을2",해운대구,21-30,unknown,MISSING,56.8,47.8
26350-116,"대원",해운대구,21-30,300-499,KNOWN,63.2,58.9
26350-135,"LH뜨란채아파트",해운대구,21-30,500-999,KNOWN,58.7,55.7
26350-138,"현대",해운대구,21-30,unknown,MISSING,56.9,37.0
26350-2138,"센텀파미르",해운대구,11-20,300-499,KNOWN,59.2,63.5
26350-189,"센텀센시빌",해운대구,21-30,500-999,MISSING,50.8,66.6
26350-137,"한일",해운대구,21-30,100-299,MISSING,54.8,42.4
26350-286,"아크로뷰",해운대구,21-30,100-299,MISSING,63.0,54.8
26350-124,"롯데4",해운대구,21-30,500-999,KNOWN,58.9,59.9
26350-16,"센텀삼환Nauville",해운대구,21-30,unknown,MISSING,58.3,37.0
26230-2317,"서면동일파크스위트1차",부산진구,11-20,500-999,KNOWN,58.6,75.7
26230-2654,"시민공원삼정그린코아더베스트",부산진구,0-10,300-499,KNOWN,65.2,82.8
26230-4560,"가야역롯데캐슬스카이엘",부산진구,0-10,500-999,KNOWN,69.2,87.2
26230-4535,"백양산서희스타힐스",부산진구,0-10,1000+,KNOWN,51.4,87.2
26230-116,"영진(5-43)",부산진구,31+,unknown,MISSING,55.7,15.2
26230-115,"시영",부산진구,31+,unknown,MISSING,44.2,11.4
