id,aptSeq,mgmBldrgstPk,name,normalizedName,sido,sigungu,sggCd,umdName,umdCd,jibun,roadAddress,jibunAddress,latitude,longitude,geocodeQuality,buildYear,useApprovalDate,mainBuildingCount,totalHouseholds,parkingCount,createdAt,updatedAt
1996,26140-1221,,충무에코팰리스2차,충무에코팰리스2차,부산,서구,26140,충무동1가,12000,26-4,,,35.09537358303758,129.0240051309538,normalized,2017,,,,,2026-08-13T07:45:58.119Z,2026-08-13T12:23:55.339Z
1910,26140-1228,,서대신부백자연애,서대신부백자연애,부산,서구,26140,서대신동3가,10600,285,,,35.11424608567278,129.0152956004152,normalized,2017,,,,,2026-08-13T07:41:25.636Z,2026-08-13T12:23:54.026Z
1913,26140-1233,,에코팰리스3,에코팰리스3,부산,서구,26140,충무동3가,12200,1-114,,,35.09424117674358,129.0230111576282,normalized,2017,,,,,2026-08-13T07:41:50.639Z,2026-08-13T12:23:54.093Z
1914,26140-1236,,헤리츠아파트3차,헤리츠아파트3차,부산,서구,26140,충무동1가,12000,17-5,,,35.09616847924433,129.0233000072591,normalized,2018,,,,,2026-08-13T07:41:51.937Z,2026-08-13T12:23:54.121Z
1919,26140-1246,,마린포시즌2차,마린포시즌2차,부산,서구,26140,남부민동,12300,647-14,,,35.09154467292201,129.0235618202794,normalized,2018,,,,,2026-08-13T07:41:59.487Z,2026-08-13T12:23:54.199Z
1965,26140-1256,,한영리더스,한영리더스,부산,서구,26140,토성동5가,11800,53-12,,,35.0962818708012,129.021797335783,normalized,2018,,,,,2026-08-13T07:44:32.163Z,2026-08-13T12:23:54.831Z
1966,26140-1258,,대신에코팰리스,대신에코팰리스,부산,서구,26140,서대신동1가,10400,34-2,,,35.1078190836513,129.018316473805,normalized,2018,,,,,2026-08-13T07:44:33.476Z,2026-08-13T12:23:54.848Z
1990,26140-1266,,미소지음6차,미소지음6차,부산,서구,26140,동대신동1가,10100,334-1,,,35.1080101829659,129.021989457304,normalized,2019,,,,,2026-08-13T07:45:49.051Z,2026-08-13T12:23:55.241Z
2031,26140-1273,,오현예다움,오현예다움,부산,서구,26140,서대신동2가,10500,50,,,35.11078199891432,129.0162685752342,normalized,2019,,,,,2026-08-13T07:48:22.871Z,2026-08-13T12:23:56.929Z
1994,26140-1275,,효정풍경채,효정풍경채,부산,서구,26140,서대신동3가,10600,291-5,,,35.1134233316425,129.015511128267,normalized,2019,,,,,2026-08-13T07:45:55.092Z,2026-08-13T12:23:55.305Z
12,26140-128,,충무제1,충무제1,부산,서구,26140,충무동2가,12100,34,,,35.0952929898042,129.021598576255,normalized,1975,,,,,2026-08-13T03:36:45.958Z,2026-08-13T12:23:53.885Z
1976,26140-1337,,충무6차에코팰리스,충무6차에코팰리스,부산,서구,26140,충무동1가,12000,29-8,,,35.0948929019172,129.023270676629,normalized,2022,,,,,2026-08-13T07:44:48.523Z,2026-08-13T12:23:54.993Z
8,26140-1346,,서원블루오션G동,서원블루오션G동,부산,서구,26140,부용동1가,10700,61,,,35.1061671127218,129.020486514169,normalized,2023,,,,,2026-08-13T03:36:45.329Z,2026-08-13T12:23:53.825Z
2006,26140-142,,영촌아트빌,영촌아트빌,부산,서구,26140,서대신동1가,10400,34-15,,,35.10780319199578,129.0185672125197,normalized,2003,,,,,2026-08-13T07:46:49.336Z,2026-08-13T12:23:55.493Z
1952,26140-143,,에메랄드21,에메랄드21,부산,서구,26140,서대신동1가,10400,35-3,,,35.10824590175945,129.0186614779811,normalized,2002,,,,,2026-08-13T07:43:41.709Z,2026-08-13T12:23:54.627Z
11,26140-15,,문화,문화,부산,서구,26140,동대신동3가,10300,173,,,35.11514323749089,129.0160250971747,normalized,1971,,,,,2026-08-13T03:36:45.849Z,2026-08-13T12:23:53.868Z
2027,26140-154,,석포로얄캐슬3차,석포로얄캐슬3차,부산,서구,26140,서대신동2가,10500,3-19,,,35.11192830811955,129.0160511627194,normalized,2004,,,,,2026-08-13T07:47:56.434Z,2026-08-13T12:23:55.842Z
1982,26140-159,,위너스빌,위너스빌,부산,서구,26140,서대신동2가,10500,102,,,35.11038291007295,129.0170187373427,normalized,2003,,,,,2026-08-13T07:45:18.157Z,2026-08-13T12:23:55.127Z
2024,26140-166,,대신타워빌,대신타워빌,부산,서구,26140,서대신동3가,10600,249-20,,,35.1145886272368,129.0147479949266,normalized,2003,,,,,2026-08-13T07:47:52.075Z,2026-08-13T12:23:55.781Z
2007,26140-167,,대신센츄럴타운,대신센츄럴타운,부산,서구,26140,서대신동3가,10600,276,,,35.11395480788482,129.0146029731445,normalized,2004,,,,,2026-08-13T07:46:50.649Z,2026-08-13T12:23:55.509Z
1997,26140-170,,송천,송천,부산,서구,26140,서대신동3가,10600,544-2,,,35.11530727557581,129.0126084008835,normalized,1976,,,,,2026-08-13T07:46:20.568Z,2026-08-13T12:23:55.368Z
1978,26140-172,,금호아트빌,금호아트빌,부산,서구,26140,토성동1가,11200,12-7,,,35.099744702884,129.0223609478455,normalized,2002,,,,,2026-08-13T07:44:51.576Z,2026-08-13T12:23:55.028Z
